title,Category,Category Description,Published,summary
Branching Out: Broadening AI Measurement and Evaluation with Measurement Trees,cs.AI,Artificial Intelligence,2025-09-30,"This paper introduces \textit{measurement trees}, a novel class of metrics
designed to combine various constructs into an interpretable multi-level
representation of a measurand. Unlike conventional metrics that yield single
values, vectors, surfaces, or categories, measurement trees produce a
hierarchical directed graph in which each node summarizes its children through
user-defined aggregation methods. In response to recent calls to expand the
scope of AI system evaluation, measurement trees enhance metric transparency
and facilitate the integration of heterogeneous evidence, including, e.g.,
agentic, business, energy-efficiency, sociotechnical, or security signals. We
present definitions and examples, demonstrate practical utility through a
large-scale measurement exercise, and provide accompanying open-source Python
code. By operationalizing a transparent approach to measurement of complex
constructs, this work offers a principled foundation for broader and more
interpretable AI evaluation."
Learning Generalizable Shape Completion with SIM(3) Equivariance,cs.CV,Computer Vision,2025-09-30,"3D shape completion methods typically assume scans are pre-aligned to a
canonical frame. This leaks pose and scale cues that networks may exploit to
memorize absolute positions rather than inferring intrinsic geometry. When such
alignment is absent in real data, performance collapses. We argue that robust
generalization demands architectural equivariance to the similarity group,
SIM(3), so the model remains agnostic to pose and scale. Following this
principle, we introduce the first SIM(3)-equivariant shape completion network,
whose modular layers successively canonicalize features, reason over
similarity-invariant geometry, and restore the original frame. Under a
de-biased evaluation protocol that removes the hidden cues, our model
outperforms both equivariant and augmentation baselines on the PCN benchmark.
It also sets new cross-domain records on real driving and indoor scans,
lowering minimal matching distance on KITTI by 17% and Chamfer distance $\ell1$
on OmniObject3D by 14%. Perhaps surprisingly, ours under the stricter protocol
still outperforms competitors under their biased settings. These results
establish full SIM(3) equivariance as an effective route to truly generalizable
shape completion. Project page: https://sime-completion.github.io."
Robust Safety-Critical Control of Integrator Chains with Mismatched Perturbations via Linear Time-Varying Feedback,eess.SY,Unknown Category,2025-09-30,"In this paper, we propose a novel safety-critical control framework for a
chain of integrators subject to both matched and mismatched perturbations. The
core of our approach is a linear, time-varying state-feedback design that
simultaneously enforces stability and safety constraints. By integrating
backstepping techniques with a quadratic programming (QP) formulation, we
develop a systematic procedure to guarantee safety under time-varying gains. We
provide rigorous theoretical guarantees for the double integrator case, both in
the presence and absence of perturbations, and outline general proofs for
extending the methodology to higher-order chains of integrators. This proposed
framework thus bridges robustness and safety-critical performance, while
overcoming the limitations of existing prescribed-time approaches."
Attention as a Compass: Efficient Exploration for Process-Supervised RL in Reasoning Models,cs.LG,Machine Learning,2025-09-30,"Reinforcement Learning (RL) has shown remarkable success in enhancing the
reasoning capabilities of Large Language Models (LLMs). Process-Supervised RL
(PSRL) has emerged as a more effective paradigm compared to outcome-based RL.
However, existing PSRL approaches suffer from limited exploration efficiency,
both in terms of branching positions and sampling. In this paper, we introduce
a novel PSRL framework (AttnRL), which enables efficient exploration for
reasoning models. Motivated by preliminary observations that steps exhibiting
high attention scores correlate with reasoning behaviors, we propose to branch
from positions with high values. Furthermore, we develop an adaptive sampling
strategy that accounts for problem difficulty and historical batch size,
ensuring that the whole training batch maintains non-zero advantage values. To
further improve sampling efficiency, we design a one-step off-policy training
pipeline for PSRL. Extensive experiments on multiple challenging mathematical
reasoning benchmarks demonstrate that our method consistently outperforms prior
approaches in terms of performance and sampling and training efficiency."
TimeRewarder: Learning Dense Reward from Passive Videos via Frame-wise Temporal Distance,cs.AI,Artificial Intelligence,2025-09-30,"Designing dense rewards is crucial for reinforcement learning (RL), yet in
robotics it often demands extensive manual effort and lacks scalability. One
promising solution is to view task progress as a dense reward signal, as it
quantifies the degree to which actions advance the system toward task
completion over time. We present TimeRewarder, a simple yet effective reward
learning method that derives progress estimation signals from passive videos,
including robot demonstrations and human videos, by modeling temporal distances
between frame pairs. We then demonstrate how TimeRewarder can supply step-wise
proxy rewards to guide reinforcement learning. In our comprehensive experiments
on ten challenging Meta-World tasks, we show that TimeRewarder dramatically
improves RL for sparse-reward tasks, achieving nearly perfect success in 9/10
tasks with only 200,000 interactions per task with the environment. This
approach outperformed previous methods and even the manually designed
environment dense reward on both the final success rate and sample efficiency.
Moreover, we show that TimeRewarder pretraining can exploit real-world human
videos, highlighting its potential as a scalable approach path to rich reward
signals from diverse video sources."
Recursive Self-Aggregation Unlocks Deep Thinking in Large Language Models,cs.LG,Machine Learning,2025-09-30,"Test-time scaling methods improve the capabilities of large language models
(LLMs) by increasing the amount of compute used during inference to make a
prediction. Inference-time compute can be scaled in parallel by choosing among
multiple independent solutions or sequentially through self-refinement. We
propose Recursive Self-Aggregation (RSA), a test-time scaling method inspired
by evolutionary methods that combines the benefits of both parallel and
sequential scaling. Each step of RSA refines a population of candidate
reasoning chains through aggregation of subsets to yield a population of
improved solutions, which are then used as the candidate pool for the next
iteration. RSA exploits the rich information embedded in the reasoning chains
-- not just the final answers -- and enables bootstrapping from partially
correct intermediate steps within different chains of thought. Empirically, RSA
delivers substantial performance gains with increasing compute budgets across
diverse tasks, model families and sizes. Notably, RSA enables
Qwen3-4B-Instruct-2507 to achieve competitive performance with larger reasoning
models, including DeepSeek-R1 and o3-mini (high), while outperforming purely
parallel and sequential scaling strategies across AIME-25, HMMT-25, Reasoning
Gym, LiveCodeBench-v6, and SuperGPQA. We further demonstrate that training the
model to combine solutions via a novel aggregation-aware reinforcement learning
approach yields significant performance gains. Code available at
https://github.com/HyperPotatoNeo/RSA."
Learning to See Before Seeing: Demystifying LLM Visual Priors from Language Pre-training,cs.LG,Machine Learning,2025-09-30,"Large Language Models (LLMs), despite being trained on text alone,
surprisingly develop rich visual priors. These priors allow latent visual
capabilities to be unlocked for vision tasks with a relatively small amount of
multimodal data, and in some cases, to perform visual tasks without ever having
seen an image. Through systematic analysis, we reveal that visual priors-the
implicit, emergent knowledge about the visual world acquired during language
pre-training-are composed of separable perception and reasoning priors with
unique scaling trends and origins. We show that an LLM's latent visual
reasoning ability is predominantly developed by pre-training on
reasoning-centric data (e.g., code, math, academia) and scales progressively.
This reasoning prior acquired from language pre-training is transferable and
universally applicable to visual reasoning. In contrast, a perception prior
emerges more diffusely from broad corpora, and perception ability is more
sensitive to the vision encoder and visual instruction tuning data. In
parallel, text describing the visual world proves crucial, though its
performance impact saturates rapidly. Leveraging these insights, we propose a
data-centric recipe for pre-training vision-aware LLMs and verify it in 1T
token scale pre-training. Our findings are grounded in over 100 controlled
experiments consuming 500,000 GPU-hours, spanning the full MLLM construction
pipeline-from LLM pre-training to visual alignment and supervised multimodal
fine-tuning-across five model scales, a wide range of data categories and
mixtures, and multiple adaptation setups. Along with our main findings, we
propose and investigate several hypotheses, and introduce the Multi-Level
Existence Bench (MLE-Bench). Together, this work provides a new way of
deliberately cultivating visual priors from language pre-training, paving the
way for the next generation of multimodal LLMs."
Second order interlaced polynomial lattice rules for integration over $\mathbb{R}^s$,math.NA,Unknown Category,2025-09-30,"We study numerical integration of functions $f: \mathbb{R}^{s} \to
\mathbb{R}$ with respect to a probability measure. By applying the
corresponding inverse cumulative distribution function, the problem is
transformed into integrating an induced function over the unit cube
$(0,1)^{s}$. We introduce a new orthonormal system: \emph{order~2 localized
Walsh functions}. These basis functions retain the approximation power of
classical Walsh functions for twice-differentiable integrands while inheriting
the spatial localization of Haar wavelets. Localization is crucial because the
transformed integrand is typically unbounded at the boundary. We show that the
worst-case quasi-Monte Carlo integration error decays like
$\mathcal{O}(N^{-1/\lambda})$ for every $\lambda \in (1/2,1]$. As an
application, we consider elliptic partial differential equations with a finite
number of log-normal random coefficients and show that our error estimates
remain valid for their stochastic Galerkin discretizations by applying a
suitable importance sampling density."
HART: Human Aligned Reconstruction Transformer,cs.CV,Computer Vision,2025-09-30,"We introduce HART, a unified framework for sparse-view human reconstruction.
Given a small set of uncalibrated RGB images of a person as input, it outputs a
watertight clothed mesh, the aligned SMPL-X body mesh, and a Gaussian-splat
representation for photorealistic novel-view rendering. Prior methods for
clothed human reconstruction either optimize parametric templates, which
overlook loose garments and human-object interactions, or train implicit
functions under simplified camera assumptions, limiting applicability in real
scenes. In contrast, HART predicts per-pixel 3D point maps, normals, and body
correspondences, and employs an occlusion-aware Poisson reconstruction to
recover complete geometry, even in self-occluded regions. These predictions
also align with a parametric SMPL-X body model, ensuring that reconstructed
geometry remains consistent with human structure while capturing loose clothing
and interactions. These human-aligned meshes initialize Gaussian splats to
further enable sparse-view rendering. While trained on only 2.3K synthetic
scans, HART achieves state-of-the-art results: Chamfer Distance improves by
18-23 percent for clothed-mesh reconstruction, PA-V2V drops by 6-27 percent for
SMPL-X estimation, LPIPS decreases by 15-27 percent for novel-view synthesis on
a wide range of datasets. These results suggest that feed-forward transformers
can serve as a scalable model for robust human reconstruction in real-world
settings. Code and models will be released."
Searching for Difficult-to-Translate Test Examples at Scale,cs.CL,Computation and Language,2025-09-30,"NLP models require test data that are sufficiently challenging. The
difficulty of an example is linked to the topic it originates from (''seed
topic''). The relationship between the topic and the difficulty of its
instances is stochastic in nature: an example about a difficult topic can
happen to be easy, and vice versa. At the scale of the Internet, there are tens
of thousands of potential topics, and finding the most difficult one by drawing
and evaluating a large number of examples across all topics is computationally
infeasible. We formalize this task and treat it as a multi-armed bandit
problem. In this framework, each topic is an ''arm,'' and pulling an arm (at a
cost) involves drawing a single example, evaluating it, and measuring its
difficulty. The goal is to efficiently identify the most difficult topics
within a fixed computational budget. We illustrate the bandit problem setup of
finding difficult examples for the task of machine translation. We find that
various bandit strategies vastly outperform baseline methods like brute-force
searching the most challenging topics."
DA$^2$: Depth Anything in Any Direction,cs.CV,Computer Vision,2025-09-30,"Panorama has a full FoV (360$^\circ\times$180$^\circ$), offering a more
complete visual description than perspective images. Thanks to this
characteristic, panoramic depth estimation is gaining increasing traction in 3D
vision. However, due to the scarcity of panoramic data, previous methods are
often restricted to in-domain settings, leading to poor zero-shot
generalization. Furthermore, due to the spherical distortions inherent in
panoramas, many approaches rely on perspective splitting (e.g., cubemaps),
which leads to suboptimal efficiency. To address these challenges, we propose
$\textbf{DA}$$^{\textbf{2}}$: $\textbf{D}$epth $\textbf{A}$nything in
$\textbf{A}$ny $\textbf{D}$irection, an accurate, zero-shot generalizable, and
fully end-to-end panoramic depth estimator. Specifically, for scaling up
panoramic data, we introduce a data curation engine for generating high-quality
panoramic depth data from perspective, and create $\sim$543K panoramic
RGB-depth pairs, bringing the total to $\sim$607K. To further mitigate the
spherical distortions, we present SphereViT, which explicitly leverages
spherical coordinates to enforce the spherical geometric consistency in
panoramic image features, yielding improved performance. A comprehensive
benchmark on multiple datasets clearly demonstrates DA$^{2}$'s SoTA
performance, with an average 38% improvement on AbsRel over the strongest
zero-shot baseline. Surprisingly, DA$^{2}$ even outperforms prior in-domain
methods, highlighting its superior zero-shot generalization. Moreover, as an
end-to-end solution, DA$^{2}$ exhibits much higher efficiency over fusion-based
approaches. Both the code and the curated panoramic data will be released.
Project page: https://depth-any-in-any-dir.github.io/."
Black-box Context-free Grammar Inference for Readable & Natural Grammars,cs.SE,Unknown Category,2025-09-30,"Black-box context-free grammar inference is crucial for program analysis,
reverse engineering, and security, yet existing tools such as Arvada, TreeVada,
and Kedavra struggle with scalability, readability, and accuracy on large,
complex languages. We present NatGI, a novel LLM-guided grammar inference
framework that extends TreeVada's parse tree recovery with three key
innovations: bracket-guided bubble exploration, LLM-driven bubble generation
and non-terminal labeling, and hierarchical delta debugging (HDD) for
systematic tree simplification. Bracket-guided exploration leverages syntactic
cues such as parentheses to propose well-structured grammar fragments, while
LLM guidance produces meaningful non-terminal names and selects more promising
merges. Finally, HDD incrementally reduces unnecessary rules, which makes the
grammars both compact and interpretable. In our experiments, we evaluate NatGI
on a comprehensive benchmark suite ranging from small languages to larger ones
such as lua, c, and mysql. Our results show that NatGI consistently outperforms
strong baselines in terms of F1 score. On average, NatGI achieves an F1 score
of 0.57, which is 25pp (percentage points) higher than the best-performing
baseline, TreeVada. In the case of interpretability, our generated grammars
perform significantly better than those produced by existing approaches.
Leveraging LLM-based node renaming and bubble exploration, NatGI produces rules
with meaningful non-terminal names and compact structures that align more
closely with human intuition. As a result, developers and researchers can
achieve higher accuracy while still being able to easily inspect, verify, and
reason about the structure and semantics of the induced grammars."
Hy-Facial: Hybrid Feature Extraction by Dimensionality Reduction Methods for Enhanced Facial Expression Classification,cs.CV,Computer Vision,2025-09-30,"Facial expression classification remains a challenging task due to the high
dimensionality and inherent complexity of facial image data. This paper
presents Hy-Facial, a hybrid feature extraction framework that integrates both
deep learning and traditional image processing techniques, complemented by a
systematic investigation of dimensionality reduction strategies. The proposed
method fuses deep features extracted from the Visual Geometry Group 19-layer
network (VGG19) with handcrafted local descriptors and the scale-invariant
feature transform (SIFT) and Oriented FAST and Rotated BRIEF (ORB) algorithms,
to obtain rich and diverse image representations. To mitigate feature
redundancy and reduce computational complexity, we conduct a comprehensive
evaluation of dimensionality reduction techniques and feature extraction. Among
these, UMAP is identified as the most effective, preserving both local and
global structures of the high-dimensional feature space. The Hy-Facial pipeline
integrated VGG19, SIFT, and ORB for feature extraction, followed by K-means
clustering and UMAP for dimensionality reduction, resulting in a classification
accuracy of 83. 3\% in the facial expression recognition (FER) dataset. These
findings underscore the pivotal role of dimensionality reduction not only as a
pre-processing step but as an essential component in improving feature quality
and overall classification performance."
Group Actions and Some Combinatorics on Words with $\mathbf{vtm}$,math.CO,Unknown Category,2025-09-30,"We introduce generalizations of powers and factor complexity via orbits of
group actions. These generalizations include concepts like abelian powers and
abelian complexity. It is shown that this notion of factor complexity cannot be
used to recognize Sturmian words in general. Within our framework, we establish
square avoidance results for the ternary squarefree Thue--Morse word
$\mathbf{vtm}$. These results go beyond the usual squarefreeness of
$\mathbf{vtm}$ and are proved using Walnut. Lastly, we establish a group action
factor complexity formula for $\mathbf{vtm}$ that is expressed in terms of the
abelian complexity of the period doubling word $\mathbf{pd}$."
Uncertainty Quantification for Regression using Proper Scoring Rules,cs.LG,Machine Learning,2025-09-30,"Quantifying uncertainty of machine learning model predictions is essential
for reliable decision-making, especially in safety-critical applications.
Recently, uncertainty quantification (UQ) theory has advanced significantly,
building on a firm basis of learning with proper scoring rules. However, these
advances were focused on classification, while extending these ideas to
regression remains challenging. In this work, we introduce a unified UQ
framework for regression based on proper scoring rules, such as CRPS,
logarithmic, squared error, and quadratic scores. We derive closed-form
expressions for the resulting uncertainty measures under practical parametric
assumptions and show how to estimate them using ensembles of models. In
particular, the derived uncertainty measures naturally decompose into aleatoric
and epistemic components. The framework recovers popular regression UQ measures
based on predictive variance and differential entropy. Our broad evaluation on
synthetic and real-world regression datasets provides guidance for selecting
reliable UQ measures."
Fine-tuning Behavioral Cloning Policies with Preference-Based Reinforcement Learning,cs.AI,Artificial Intelligence,2025-09-30,"Deploying reinforcement learning (RL) in robotics, industry, and health care
is blocked by two obstacles: the difficulty of specifying accurate rewards and
the risk of unsafe, data-hungry exploration. We address this by proposing a
two-stage framework that first learns a safe initial policy from a reward-free
dataset of expert demonstrations, then fine-tunes it online using
preference-based human feedback. We provide the first principled analysis of
this offline-to-online approach and introduce BRIDGE, a unified algorithm that
integrates both signals via an uncertainty-weighted objective. We derive regret
bounds that shrink with the number of offline demonstrations, explicitly
connecting the quantity of offline data to online sample efficiency. We
validate BRIDGE in discrete and continuous control MuJoCo environments, showing
it achieves lower regret than both standalone behavioral cloning and online
preference-based RL. Our work establishes a theoretical foundation for
designing more sample-efficient interactive agents."
Video Object Segmentation-Aware Audio Generation,cs.CV,Computer Vision,2025-09-30,"Existing multimodal audio generation models often lack precise user control,
which limits their applicability in professional Foley workflows. In
particular, these models focus on the entire video and do not provide precise
methods for prioritizing a specific object within a scene, generating
unnecessary background sounds, or focusing on the wrong objects. To address
this gap, we introduce the novel task of video object segmentation-aware audio
generation, which explicitly conditions sound synthesis on object-level
segmentation maps. We present SAGANet, a new multimodal generative model that
enables controllable audio generation by leveraging visual segmentation masks
along with video and textual cues. Our model provides users with fine-grained
and visually localized control over audio generation. To support this task and
further research on segmentation-aware Foley, we propose Segmented Music Solos,
a benchmark dataset of musical instrument performance videos with segmentation
information. Our method demonstrates substantial improvements over current
state-of-the-art methods and sets a new standard for controllable,
high-fidelity Foley synthesis. Code, samples, and Segmented Music Solos are
available at https://saganet.notion.site"
DeepScientist: Advancing Frontier-Pushing Scientific Findings Progressively,cs.CL,Computation and Language,2025-09-30,"While previous AI Scientist systems can generate novel findings, they often
lack the focus to produce scientifically valuable contributions that address
pressing human-defined challenges. We introduce DeepScientist, a system
designed to overcome this by conducting goal-oriented, fully autonomous
scientific discovery over month-long timelines. It formalizes discovery as a
Bayesian Optimization problem, operationalized through a hierarchical
evaluation process consisting of ""hypothesize, verify, and analyze"". Leveraging
a cumulative Findings Memory, this loop intelligently balances the exploration
of novel hypotheses with exploitation, selectively promoting the most promising
findings to higher-fidelity levels of validation. Consuming over 20,000 GPU
hours, the system generated about 5,000 unique scientific ideas and
experimentally validated approximately 1100 of them, ultimately surpassing
human-designed state-of-the-art (SOTA) methods on three frontier AI tasks by
183.7\%, 1.9\%, and 7.9\%. This work provides the first large-scale evidence of
an AI achieving discoveries that progressively surpass human SOTA on scientific
tasks, producing valuable findings that genuinely push the frontier of
scientific discovery. To facilitate further research into this process, we will
open-source all experimental logs and system code at
https://github.com/ResearAI/DeepScientist/."
